Maize_Sample	345dcc18d51f44572bd67c08e5e95b8b	074e66f75650948b8df12cfe2ffb5f37	060fdbbfa61cbfb4d47350dc2a2019cd	d2208d27b5df4c53eb547f7ac45f4d6b	574d164310944193d8fc13dc10346e58	8cb92babedb9f4ff7bedee4ac4f47370	3e00a33b844a56c2e00acedeffc43b5e	0f5f7693288de84f4ade2e6abaa2440f	561ed5d9dab98c645f731a40b7b63fa4	a6d4742d8c802171498b62b6d79b1764	Location	Date_Taken	Sample_Type	Soil_Test_Number	PlantA_Or_B	Notes	GA_Microbiome	Living_Mulch	Endophyte	R1_Fastq_Name	R2_Fastq_Name	reads	Growing_Degree_Days	GPSlatitude	GPSlongitude	Living_Mulch_Treatment	quant_reading	Sample_or_Control	precipIntensity	precipProbability	temperatureHigh	temperatureLow	dewPoint	humidity	windSpeed	uvIndex	Sampling_Number	Lime_Buffer_Capacity	pH	Water_pH	Base_Saturation_perc	Cation_Exchange_Capacity	Ca_ppm	Cd_ppm	Cr_ppm	Cu_ppm	Fe_ppm	K_ppm	Mg_ppm	Mn_ppm	Mo_ppm	Na_ppm	Ni_ppm	P_ppm	Pb_ppm	Zn_ppm	Organic_Matter_perc	N_perc	Sampling_NumberGDD	Plate	Row	Column	Well	Concentration
GA188repBS600	0	0	1	0	0	0	0	1	0	1	Wadley	2018-05-07	Soil	16.0		A_second_rep_of_the_soil_at_this_location_was_taken	True	False	False	GA18-8repBS-600_S191_L001_R1_001.fastq.gz	GA18-8repBS-600_S191_L001_R2_001.fastq.gz	31704	600.0	32.96009	-82.41694		293.666667	Sample	0.003618033	0.3568852	80.9523	58.69607	58.73262	0.7440984	3.482787	7.967213	8.0	245.0	6.16	6.76	94.7	6.39	770.0	0.0275	0.09	0.29	33.16	168.8	208.3	5.3	0.02	6.93	2.28	40.37	0.66	4.27	3.29	0.17	8600.0	5	H	12	H12	293.6666666667
GA1811S1400	1	0	1	0	0	0	0	1	0	1	Fort_Valley	2018-06-07	Soil	84.0			True	False	False	GA18-11S-1400_S118_L001_R1_001.fastq.gz	GA18-11S-1400_S118_L001_R2_001.fastq.gz	37642	1400.0	32.501540000000006	-83.94552		115.33333300000001	Sample	0.0036770490000000004	0.30032790000000004	79.52705	59.882459999999995	58.004259999999995	0.7219671999999999	5.210656	8.114754	11.0	317.0	4.92	5.52	60.3	6.86	628.0	0.05	0.05	0.33	17.16	179.7	62.4	31.63	0.02	5.24	0.91	75.2	0.26	6.98	2.28	0.08	111400.0	5	B	10	B10	115.3333333333
GA1824S1400	1	0	1	0	0	0	0	1	0	1	Watkinsville	2018-06-21	Soil	100.0		Living_mulch_experiment_and_GA_Microbiome	True	True	False	GA18-24S-1400_S141_L001_R1_001.fastq.gz	GA18-24S-1400_S141_L001_R2_001.fastq.gz	39082	1400.0	33.868120000000005	-83.44997	LivingMulch	179.333333	Sample	0.003720588	0.33	82.77	63.91176	63.34191	0.7672059	3.100882	8.455882	24.0	272.0	5.44	6.04	80.4	7.72	1033.0	0.025	0.025	1.54	7.9	98.1	89.3	29.02	0.025	8.92	0.41	35.41	0.06	10.39	3.32	0.1	241400.0	5	D	10	D10	179.3333333333
GA1829SLM1400	0	0	1	0	0	0	1	1	0	1	Watkinsville	2018-06-28	Soil				True	True	False	GA18-29S-LM1400_S163_L001_R1_001.fastq.gz	GA18-29S-LM1400_S163_L001_R2_001.fastq.gz	33081	1400.0	33.86799	-83.45004	CrimsonClover	235.333333	Sample	0.003720588	0.33	82.77	63.91176	63.34191	0.7672059	3.100882	8.455882	29.0	329.0	4.9	5.5	61.4	7.41	778.0	0.025	0.025	0.97	8.01	66.8	52.5	31.68	0.025	10.73	2.24	23.77	0.35	3.9	3.03	0.11	291400.0	5	F	8	F8	235.3333333333
GA1813I1400	1	0	1	0	0	1	0	1	0	1	Tennile	2018-06-07	Inrow_Soil	79.0			True	False	False	GA1813I1400_S108_L001_R1_001.fastq.gz	GA1813I1400_S108_L001_R2_001.fastq.gz	347297	1400.0	32.89258	-82.76496		57.966667	Sample	0.003480328	0.3142623	80.08606999999999	58.223769999999995	58.49869	0.7581967	3.129836	7.803278999999999	13.0	218.0	6.0	6.6	90.6	5.23	717.0	0.02	0.02	0.78	10.61	154.9	84.6	9.1	0.02	12.64	1.74	35.2	1.17	1.75	1.44	0.07	131400.0	2	A	12	A12	57.9666666667
GA1815S1400	1	0	1	0	0	0	0	1	0	1	Arlington	2018-05-31	Soil	56.0			True	False	False	GA18-15S-1400_S188_L001_R1_001.fastq.gz	GA18-15S-1400_S188_L001_R2_001.fastq.gz	30676	1400.0	31.42077	-84.67211999999999		292.666667	Sample	0.004491525	0.24101689999999998	80.17237	59.71356	59.14	0.7488136	3.836102	8.305085	15.0	170.0	5.5	6.1	76.8	3.38	446.0	0.02	0.02	0.84	5.99	59.6	23.8	15.29	0.02	4.46	0.5	15.4	0.19	1.84	1.06	0.03	151400.0	5	H	9	H9	292.6666666667
GA181S1400	0	0	1	0	0	1	0	1	0	1	Pavo	2018-05-31	Soil	50.0			True	False	False	GA18-1S-1400_S130_L001_R1_001.fastq.gz	GA18-1S-1400_S130_L001_R2_001.fastq.gz	50699	1400.0	30.9823	-83.66018000000001		117.66666699999999	Sample	0.004208475	0.2908475	81.38237	60.77203000000001	58.81763	0.7152542	3.931525	8.423729	1.0	616.0	6.24	6.84	95.8	13.69	1966.0	0.025	0.14	0.71	23.72	368.8	263.6	30.46	0.025	33.12	0.94	74.2	0.13	6.5	5.6	0.17	11400.0	5	C	11	C11	117.6666666667
GA1836S900	0	0	1	0	0	0	0	1	0	1	Athens	2018-06-01	Soil	67.0			True	False	False	GA18-36S-900_S165_L001_R1_001.fastq.gz	GA18-36S-900_S165_L001_R2_001.fastq.gz	30419	900.0	33.71668	-83.30863000000001		93.8	Sample	0.0031758059999999998	0.30854840000000006	82.42355	63.16194	61.83274	0.7496774	2.797581	8.645161	36.0	401.0	6.17	6.77	90.6	5.68	681.0	0.03	0.03	0.33	9.06	44.0	189.3	5.83	0.03	10.04	0.41	4.3	0.79	0.015	2.61	0.06	36900.0	5	F	10	F10	93.8
GA1827S1400	1	0	1	0	0	0	0	1	0	1	Watkinsville	2018-06-21	Soil	103.0		Living_mulch_experiment_and_GA_Microbiome	True	True	False	GA1827S1400_S186_L001_R1_001.fastq.gz	GA1827S1400_S186_L001_R2_001.fastq.gz	238662	1400.0	33.86823	-83.45	NoCover	151.333333	Sample	0.003720588	0.33	82.77	63.91176	63.34191	0.7672059	3.100882	8.455882	27.0	367.0	6.05	6.65	91.3	8.6	1131.0	0.025	0.025	0.13	9.55	60.0	239.3	7.84	0.025	11.82	1.22	14.0	0.27	0.66	3.54	0.09	271400.0	2	H	6	H6	151.3333333333
GA1831I1000	0	0	0	0	0	0	0	0	0	1	Athens	2018-06-19	Inrow_Soil	107.0			True	False	False	GA1831I1000_S176_L001_R1_001.fastq.gz	GA1831I1000_S176_L001_R2_001.fastq.gz	76373	1000.0	33.7167	-83.30869		39.1	Sample	0.0031758059999999998	0.30854840000000006	82.42355	63.16194	61.83274	0.7496774	2.797581	8.645161	31.0	348.0	6.18	6.78	94.1	7.47	983.0	0.025	0.025	0.125	11.9	72.4	225.8	10.95	0.025	9.65	1.32	8.89	0.34	0.76	3.16	0.06	311000.0	2	G	8	G8	39.1
GA184S600	1	0	1	0	0	0	1	1	0	1	Fitzgerald	2018-05-02	Soil	6.0			True	False	False	GA18-4S-600_S107_L001_R1_001.fastq.gz	GA18-4S-600_S107_L001_R2_001.fastq.gz	32683	600.0	31.66868	-83.30319		65.633333	Sample	0.001486441	0.1333898	79.90034	60.10508000000001	59.26356	0.7445763000000001	4.1525419999999995	8.118644	4.0	213.0	5.27	5.87	68.7	4.29	434.0	0.05	0.05	0.51	13.77	144.5	45.7	13.9	0.04	7.0	2.46	43.89	0.9	5.14	1.34	0.04	4600.0	5	A	11	A11	65.6333333333
GA181repBS600	1	0	1	0	0	1	0	1	0	1	Pavo	2018-05-02	Soil				True	False	False	GA181repBS600_S148_L001_R1_001.fastq.gz	GA181repBS600_S148_L001_R2_001.fastq.gz	191753	600.0	30.982440000000004	-83.66032		34.8	Sample	0.004208475	0.2908475	81.38237	60.77203000000001	58.81763	0.7152542	3.931525	8.423729	1.0	506.0	5.3	5.9	64.6	9.12	829.0	0.02	0.15	0.47	20.78	279.1	102.3	9.7	0.02	41.86	0.92	53.48	0.1	2.79	4.03	0.16	1600.0	2	E	4	E4	34.8
GA183I1400	1	0	1	1	0	1	0	1	0	1	Dawson	2018-05-31	Inrow_Soil	60.0		~5_feet_from_600_GDD_sample	True	False	False	GA183I1400_S118_L001_R1_001.fastq.gz	GA183I1400_S118_L001_R2_001.fastq.gz	79937	1400.0	31.62073	-84.52261999999999		115.33333300000001	Sample	0.003861017	0.26288140000000004	80.80271	59.061690000000006	57.94831	0.7277965999999999	4.6067800000000005	8.067797	3.0	154.0	4.86	5.46	69.7	3.83	456.0	0.02	0.02	1.36	18.2	56.3	26.0	14.93	0.02	6.49	0.68	74.0	0.49	4.09	0.69	0.01	31400.0	2	B	10	B10	115.3333333333
GA1811S600	0	0	1	0	0	0	1	1	0	1	Fort_Valley	2018-05-07	Soil	18.0			True	False	False	GA1811S600_S175_L001_R1_001.fastq.gz	GA1811S600_S175_L001_R2_001.fastq.gz	133782	600.0	32.501540000000006	-83.9455		126.0	Sample	0.0036770490000000004	0.30032790000000004	79.52705	59.882459999999995	58.004259999999995	0.7219671999999999	5.210656	8.114754	11.0	235.0	5.66	6.26	81.4	5.37	665.0	0.05	0.1	0.26	15.61	136.2	80.4	14.5	0.02	7.04	0.69	65.89	0.31	4.39	2.11	0.11	11600.0	2	G	7	G7	126.0
GA1829I600	1	1	1	1	0	0	1	1	0	1	Watkinsville	2018-05-21	Inrow_Soil	45.0		Living_mulch_experiment_and_GA_Microbiome	True	True	False	GA1829I600_S164_L001_R1_001.fastq.gz	GA1829I600_S164_L001_R2_001.fastq.gz	92496	600.0	33.86799	-83.45004	CrimsonClover	87.633333	Sample	0.003720588	0.33	82.77	63.91176	63.34191	0.7672059	3.100882	8.455882	29.0	364.0	6.01	6.61	87.2	6.42	925.0	0.02	0.02	0.56	5.58	89.8	83.8	46.9	0.02	9.47	0.56	7.66	0.08	3.63	2.49	0.07	29600.0	2	F	8	F8	87.6333333333
GA1829I1400	1	1	1	1	0	0	1	1	0	1	Watkinsville	2018-06-21	Inrow_Soil	117.0		Living_mulch_experiment_and_GA_Microbiome	True	True	False	GA1829I1400_S153_L001_R1_001.fastq.gz	GA1829I1400_S153_L001_R2_001.fastq.gz	100153	1400.0	33.86801	-83.45004	CrimsonClover	97.7	Sample	0.003720588	0.33	82.77	63.91176	63.34191	0.7672059	3.100882	8.455882	29.0	329.0	4.9	5.5	61.4	7.41	778.0	0.025	0.025	0.97	8.01	66.8	52.5	31.68	0.025	10.73	2.24	23.77	0.35	3.9	3.03	0.11	291400.0	2	E	9	E9	97.7
GA181S600	0	0	1	0	0	0	1	1	0	1	Pavo	2018-05-02	Soil	3.0			True	False	False	GA18-1S-600_S152_L001_R1_001.fastq.gz	GA18-1S-600_S152_L001_R2_001.fastq.gz	30763	600.0	30.982440000000004	-83.66032		185.333333	Sample	0.004208475	0.2908475	81.38237	60.77203000000001	58.81763	0.7152542	3.931525	8.423729	1.0	506.0	5.3	5.9	64.6	9.12	829.0	0.02	0.15	0.47	20.78	279.1	102.3	9.7	0.02	41.86	0.92	53.48	0.1	2.79	4.03	0.16	1600.0	5	E	9	E9	185.3333333333
GA1837I600	1	0	1	0	0	0	1	1	0	1	Blairsville	2018-06-01	Inrow_Soil	71.0			True	False	False	GA1837I600_S141_L001_R1_001.fastq.gz	GA1837I600_S141_L001_R2_001.fastq.gz	98269	600.0	34.84497	-83.9168		83.633333	Sample	0.006410294	0.4620588	81.29485	62.65044	62.91161999999999	0.7870588000000001	2.561029	8.764706	37.0	408.0	5.74	6.34	80.4	7.96	877.0	0.025	0.025	0.45	13.86	134.8	194.2	16.39	0.025	11.27	3.38	32.1	0.34	1.63	4.72	0.14	37600.0	2	D	9	D9	83.6333333333
GA1831S1400	0	0	0	0	0	0	0	1	0	0	Athens	2018-07-02	Soil	119.0			True	False	False	GA1831S1400_S136_L001_R1_001.fastq.gz	GA1831S1400_S136_L001_R2_001.fastq.gz	103015	1400.0	33.7167	-83.30870999999999		41.1	Sample	0.0031758059999999998	0.30854840000000006	82.42355	63.16194	61.83274	0.7496774	2.797581	8.645161	31.0	233.0	5.95	6.55	91.4	6.99	1062.0	0.025	0.025	0.66	5.55	101.8	94.2	25.57	0.025	8.55	2.11	24.32	0.12	6.87	2.74	0.04	311400.0	2	D	4	D4	41.1
